"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"1000";"19.01.2024";"";"0";"";"0";"Телка";"01.02.2024";"";"";"";"";""
"1001";"20.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"1002";"20.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"1003";"21.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"1004";"22.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"1633";"28.11.2015";"";"6";"06.11.2023";"87";"Дойная";"";"";"";"";"";""
"1679";"01.12.2016";"";"5";"14.08.2023";"171";"Дойная";"";"";"";"";"";""
"2542";"27.07.2015";"";"6";"28.03.2023";"310";"Дойная";"30.11.2023";"";"";"";"";""
"2577";"27.06.2016";"";"4";"29.05.2023";"248";"Осемененная";"19.10.2023";"19.10.2023";"";"";"";""
"2713";"29.09.2015";"";"6";"20.05.2023";"257";"Дойная";"";"";"";"";"";""
"2832";"30.06.2015";"";"7";"05.07.2023";"211";"Дойная";"";"";"";"";"";""
"3292";"26.10.2015";"";"6";"16.09.2023";"138";"Дойная";"";"";"";"";"";""
"3304";"20.03.2015";"";"6";"25.02.2023";"341";"Дойная";"19.10.2023";"";"";"";"";""
"3572";"02.10.2015";"";"6";"06.04.2023";"0";"Сухостой";"28.09.2023";"28.09.2023";"";"19.01.2024";"";""
"3584";"18.09.2015";"";"7";"22.09.2023";"132";"Осемененная";"30.11.2023";"30.11.2023";"";"";"";""
"3702";"07.08.2016";"";"5";"29.07.2023";"187";"Дойная";"";"";"";"";"";""
"3705";"12.06.2015";"";"6";"14.03.2023";"324";"Осемененная";"02.11.2023";"02.11.2023";"";"";"";""
"3723";"06.10.2016";"";"5";"11.04.2023";"296";"Дойная";"22.06.2023";"";"";"";"";""
"3916";"09.09.2015";"";"7";"02.10.2023";"122";"Осемененная";"14.12.2023";"14.12.2023";"";"";"";""
"3929";"08.10.2015";"";"6";"11.07.2023";"205";"Дойная";"";"";"";"";"";""
"4001";"08.04.2016";"";"6";"04.05.2023";"273";"Дойная";"04.01.2024";"";"";"";"";""
"4387";"24.09.2015";"";"6";"27.03.2023";"311";"Дойная";"08.06.2023";"";"";"";"";""
"4704";"24.11.2015";"";"6";"19.05.2023";"258";"Дойная";"18.01.2024";"";"";"";"";""
"4737";"27.02.2016";"";"6";"02.01.2024";"30";"Дойная";"";"";"";"";"";""
"4778";"30.09.2015";"";"6";"27.06.2023";"219";"Дойная";"";"";"";"";"";""
"4857";"23.05.2016";"";"5";"04.09.2023";"150";"Осемененная";"25.01.2024";"25.01.2024";"";"";"";""
"5085";"14.07.2015";"";"7";"28.10.2023";"96";"Дойная";"";"";"";"";"";""
"5190";"05.08.2016";"";"6";"11.12.2023";"52";"Дойная";"";"";"";"";"";""
"5349";"25.11.2016";"";"5";"04.04.2023";"303";"Дойная";"18.01.2024";"";"";"";"";""
"5370";"09.01.2017";"";"6";"30.10.2023";"94";"Дойная";"";"";"";"";"";""
"5647";"19.02.2016";"";"6";"08.04.2023";"299";"Дойная";"16.11.2023";"";"";"";"";""
"5660";"13.04.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"5994";"09.06.2015";"";"6";"01.04.2023";"306";"Дойная";"24.08.2023";"";"";"";"";""
"6222";"24.04.2015";"";"7";"09.01.2024";"23";"Дойная";"";"";"";"";"";""
"6280";"20.06.2015";"";"6";"15.03.2023";"323";"Дойная";"23.11.2023";"";"";"";"";""
"7238";"07.08.2015";"";"7";"03.12.2023";"60";"Дойная";"";"";"";"";"";""
"7667";"09.09.2016";"";"5";"22.09.2023";"132";"Дойная";"30.11.2023";"";"";"";"";""
"7787";"23.12.2016";"";"6";"04.10.2023";"120";"Дойная";"";"";"";"";"";""
"8099";"07.10.2016";"";"6";"02.01.2024";"30";"Дойная";"";"";"";"";"";""
"8294";"05.07.2016";"";"5";"13.07.2023";"203";"Дойная";"";"";"";"";"";""
"8928";"31.12.2015";"";"7";"17.12.2023";"46";"Дойная";"";"";"";"";"";""
"9655";"03.11.2016";"";"6";"18.09.2023";"136";"Дойная";"";"";"";"";"";""
"10958";"22.10.2016";"";"5";"07.03.2023";"331";"Дойная";"23.11.2023";"";"";"";"";""
"12000";"24.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12001";"27.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12002";"28.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12003";"28.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12004";"28.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12005";"28.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12006";"30.12.2023";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12007";"02.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12008";"01.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12009";"02.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12010";"02.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12012";"03.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12013";"04.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12014";"05.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12015";"06.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12016";"07.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12017";"08.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12018";"09.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12019";"11.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12020";"11.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12021";"11.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12022";"15.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12023";"15.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12024";"17.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12025";"18.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12026";"20.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12027";"20.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"12028";"21.01.2024";"";"0";"";"0";"Телка";"";"";"";"";"";""
"13925";"05.11.2016";"";"5";"30.06.2023";"216";"Дойная";"";"";"";"";"";""
"14861";"15.11.2015";"";"7";"14.01.2024";"18";"Дойная";"";"";"";"";"";""
"20106";"11.05.2017";"";"5";"17.11.2023";"76";"Дойная";"";"";"";"";"";""
"20174";"29.05.2017";"";"5";"18.08.2023";"167";"Дойная";"";"";"";"";"";""
"20178";"30.05.2017";"";"5";"05.12.2023";"58";"Дойная";"";"";"";"";"";""
"20187";"02.06.2017";"";"5";"14.11.2023";"79";"Дойная";"";"";"";"";"";""
"20254";"19.06.2017";"";"5";"09.04.2023";"298";"Дойная";"18.01.2024";"";"";"";"";""
"20273";"24.06.2017";"";"4";"24.03.2023";"314";"Дойная";"19.10.2023";"";"";"";"";""
