"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"128";"22.04.2015";"17.06.2025";"9";"17.04.2025";"0";"Продана";"01.08.2025";"";"";"";"";""
"146";"28.04.2015";"18.03.2024";"7";"10.02.2024";"0";"Продана";"";"";"";"";"";""
"277";"21.07.2015";"22.08.2024";"7";"18.08.2024";"0";"Продана";"";"";"";"";"";""
"530";"30.12.2015";"03.06.2024";"7";"03.05.2024";"0";"Продана";"";"";"";"";"";""
"668";"07.04.2016";"13.03.2025";"6";"18.03.2024";"0";"Продана";"13.09.2024";"";"";"";"";""
"801";"14.07.2016";"12.02.2025";"5";"16.02.2023";"0";"Продана";"22.12.2023";"";"";"";"";""
"811";"23.07.2016";"";"7";"16.05.2025";"77";"Дойная";"";"";"";"";"";""
"832";"03.08.2016";"12.03.2025";"5";"18.10.2023";"0";"Продана";"19.07.2024";"";"";"";"";""
"853";"15.08.2016";"12.02.2025";"7";"21.09.2024";"0";"Продана";"";"";"";"";"";""
"857";"16.08.2016";"12.03.2025";"5";"29.07.2023";"0";"Продана";"15.03.2024";"";"";"";"";""
"965";"06.10.2016";"13.03.2025";"6";"19.01.2024";"0";"Продана";"05.04.2024";"";"";"";"";""
"1001";"28.10.2016";"12.02.2025";"6";"05.01.2024";"0";"Продана";"09.08.2024";"";"";"";"";""
"1018";"04.11.2016";"29.10.2024";"6";"29.12.2023";"0";"Продана";"06.09.2024";"06.09.2024";"";"";"";""
"1064";"20.11.2016";"26.04.2024";"5";"26.01.2023";"0";"Продана";"10.11.2023";"";"";"";"";""
"1139";"01.01.2017";"29.07.2024";"6";"29.06.2024";"0";"Продана";"";"";"";"";"";""
"1145";"06.01.2017";"14.03.2025";"7";"14.01.2025";"0";"Продана";"";"";"";"";"";""
"1146";"06.01.2017";"20.03.2025";"7";"19.03.2025";"0";"Продана";"";"";"";"";"";""
"1193";"24.02.2017";"26.04.2024";"6";"21.08.2023";"0";"Продана";"12.01.2024";"";"";"";"";""
"1217";"08.03.2017";"06.02.2025";"4";"19.05.2023";"0";"Продана";"";"";"";"";"";""
"1253";"23.03.2017";"11.09.2024";"6";"17.05.2024";"0";"Продана";"02.08.2024";"";"";"";"";""
"1260";"25.03.2017";"03.12.2024";"5";"20.10.2023";"0";"Продана";"26.04.2024";"26.04.2024";"";"28.11.2024";"";""
"1299";"01.05.2017";"26.04.2024";"5";"25.01.2023";"0";"Продана";"19.05.2023";"";"";"";"";""
"1337";"30.05.2017";"22.04.2024";"6";"07.04.2024";"0";"Продана";"";"";"";"";"";""
"1341";"01.06.2017";"22.05.2024";"5";"24.10.2023";"0";"Продана";"22.03.2024";"";"";"";"";""
"1356";"13.06.2017";"18.11.2024";"5";"01.05.2024";"0";"Продана";"12.10.2024";"";"";"";"";""
"1391";"24.07.2017";"26.04.2024";"5";"14.08.2023";"0";"Продана";"19.01.2024";"";"";"";"";""
"1405";"29.07.2017";"";"6";"05.12.2024";"239";"Дойная";"";"";"";"";"";""
"1416";"04.08.2017";"24.12.2024";"4";"03.12.2022";"0";"Мертвое животное";"";"";"";"";"";""
"1435";"14.08.2017";"24.06.2024";"5";"26.08.2023";"0";"Продана";"10.11.2023";"10.11.2023";"";"";"";""
"1479";"10.09.2017";"18.12.2024";"6";"23.11.2024";"0";"Продана";"";"";"";"";"";""
"1481";"18.09.2017";"07.03.2024";"4";"15.02.2023";"0";"Продана";"01.09.2023";"01.09.2023";"";"";"";""
"1511";"06.10.2017";"13.12.2024";"6";"17.11.2024";"0";"Продана";"";"";"";"";"";""
"1520";"09.10.2017";"12.05.2025";"6";"08.01.2025";"0";"Продана";"";"";"";"";"";""
"1526";"12.10.2017";"14.10.2024";"6";"16.08.2024";"0";"Продана";"";"";"";"";"";""
"1530";"15.10.2017";"17.02.2025";"5";"15.01.2024";"0";"Продана";"16.08.2024";"16.08.2024";"";"07.02.2025";"";""
"1550";"26.10.2017";"06.09.2024";"5";"06.07.2024";"0";"Продана";"";"";"";"";"";""
"1553";"27.10.2017";"";"6";"25.04.2025";"98";"Дойная";"";"";"";"";"";""
"1555";"28.10.2017";"26.12.2024";"5";"14.07.2024";"0";"Продана";"";"";"";"";"";""
"1564";"02.11.2017";"29.02.2024";"5";"28.02.2024";"0";"Продана";"";"";"";"";"";""
"1581";"12.11.2017";"13.03.2025";"5";"10.05.2024";"0";"Продана";"30.08.2024";"";"";"";"";""
"1620";"03.12.2017";"13.04.2025";"5";"08.06.2024";"0";"Продана";"23.08.2024";"23.08.2024";"";"27.03.2025";"";""
"1628";"08.12.2017";"26.11.2024";"5";"03.02.2024";"0";"Продана";"06.09.2024";"";"";"";"";""
"1638";"14.12.2017";"";"6";"26.03.2025";"128";"Дойная";"";"";"";"";"";""
"1672";"06.01.2018";"";"6";"18.06.2025";"44";"Дойная";"";"";"";"";"";""
"1686";"14.01.2018";"29.02.2024";"4";"31.03.2023";"0";"Продана";"26.01.2024";"";"";"";"";""
"1708";"24.01.2018";"02.05.2024";"5";"03.11.2023";"0";"Продана";"29.03.2024";"";"";"";"";""
"1709";"24.01.2018";"26.12.2024";"5";"29.08.2024";"0";"Продана";"";"";"";"";"";""
"1713";"25.01.2018";"29.01.2025";"4";"08.05.2023";"0";"Продана";"";"";"";"";"";""
"1738";"05.02.2018";"06.02.2025";"4";"29.12.2022";"0";"Продана";"27.10.2023";"";"";"";"";""
"1771";"25.02.2018";"04.07.2024";"4";"25.03.2024";"0";"Продана";"07.06.2024";"";"";"";"";""
"1812";"18.03.2018";"";"6";"21.12.2024";"223";"Дойная";"";"";"";"";"";""
"1819";"21.03.2018";"13.05.2025";"5";"12.12.2024";"0";"Продана";"";"";"";"";"";""
"1826";"26.03.2018";"06.02.2025";"4";"07.02.2024";"0";"Продана";"24.05.2024";"";"";"";"";""
"1836";"01.04.2018";"31.10.2024";"5";"06.03.2024";"0";"Продана";"20.09.2024";"";"";"";"";""
"1846";"07.04.2018";"";"6";"12.12.2024";"232";"Дойная";"";"";"";"";"";""
"1859";"15.04.2018";"";"6";"03.05.2025";"90";"Осемененная";"18.07.2025";"18.07.2025";"";"";"";""
"1860";"17.04.2018";"05.08.2024";"4";"22.08.2023";"0";"Продана";"10.05.2024";"";"";"";"";""
"1891";"12.05.2018";"25.03.2024";"4";"08.08.2023";"0";"Продана";"15.03.2024";"";"";"";"";""
"1895";"14.05.2018";"13.03.2025";"3";"10.03.2023";"0";"Продана";"15.12.2023";"";"";"";"";""
"1898";"17.05.2018";"26.04.2024";"3";"12.11.2022";"0";"Продана";"28.07.2023";"";"";"";"";""
"1927";"06.06.2018";"23.07.2024";"4";"03.11.2023";"0";"Продана";"29.03.2024";"";"";"";"";""
"1939";"14.06.2018";"14.09.2024";"5";"11.09.2024";"0";"Продана";"";"";"";"";"";""
"1949";"26.06.2018";"03.10.2024";"4";"03.11.2023";"0";"Продана";"29.03.2024";"29.03.2024";"";"";"";""
"1951";"27.06.2018";"12.02.2025";"3";"18.02.2023";"0";"Продана";"17.11.2023";"";"";"";"";""
"1955";"30.06.2018";"26.12.2024";"5";"10.06.2024";"0";"Продана";"";"";"";"";"";""
"1965";"08.07.2018";"07.04.2025";"4";"01.01.2024";"0";"Продана";"12.07.2024";"12.07.2024";"";"07.02.2025";"";""
"1981";"19.07.2018";"";"5";"30.01.2025";"183";"Осемененная";"06.05.2025";"06.05.2025";"";"";"";""
"1985";"22.07.2018";"07.05.2025";"5";"07.05.2025";"0";"Продана";"";"";"";"";"";""
"2003";"28.07.2018";"";"6";"14.05.2025";"79";"Дойная";"";"";"";"";"";""
"2013";"05.08.2018";"03.07.2024";"4";"12.04.2023";"0";"Продана";"12.01.2024";"";"";"";"";""
"2017";"05.08.2018";"10.06.2024";"4";"18.01.2024";"0";"Продана";"29.03.2024";"29.03.2024";"";"";"";""
"2018";"06.08.2018";"10.06.2024";"4";"30.10.2023";"0";"Продана";"26.04.2024";"26.04.2024";"";"";"";""
"2023";"09.08.2018";"25.07.2024";"4";"10.02.2024";"0";"Продана";"26.04.2024";"26.04.2024";"";"";"";""
"2032";"14.08.2018";"03.06.2025";"5";"23.11.2024";"0";"Продана";"";"";"";"";"";""
"2034";"14.08.2018";"15.04.2024";"4";"19.02.2024";"0";"Продана";"";"";"";"";"";""
"2039";"07.10.2019";"10.03.2025";"4";"08.03.2025";"0";"Продана";"";"";"";"";"";""
"2053";"27.08.2018";"26.04.2024";"3";"17.10.2022";"0";"Продана";"10.02.2023";"";"";"";"";""
"2064";"01.09.2018";"";"5";"17.02.2025";"165";"Осемененная";"02.05.2025";"02.05.2025";"";"";"";""
"2072";"06.09.2018";"27.01.2025";"5";"24.01.2025";"0";"Продана";"";"";"";"";"";""
"2080";"10.09.2018";"06.07.2025";"5";"18.08.2024";"0";"Продана";"06.12.2024";"06.12.2024";"";"29.05.2025";"";""
"2088";"11.09.2018";"09.08.2024";"4";"31.01.2024";"0";"Продана";"";"";"";"";"";""
"2091";"12.09.2018";"05.03.2025";"5";"08.02.2025";"0";"Продана";"";"";"";"";"";""
"2097";"13.09.2018";"03.07.2024";"4";"19.09.2023";"0";"Продана";"05.01.2024";"";"";"";"";""
"2099";"14.09.2018";"20.05.2024";"4";"18.05.2024";"0";"Продана";"";"";"";"";"";""
"2104";"21.09.2018";"03.01.2025";"5";"29.12.2024";"0";"Продана";"";"";"";"";"";""
"2108";"23.09.2018";"";"6";"13.06.2025";"49";"Дойная";"";"";"";"";"";""
"2112";"24.09.2018";"26.12.2024";"5";"08.09.2024";"0";"Продана";"";"";"";"";"";""
"2117";"27.09.2018";"03.07.2024";"4";"19.07.2023";"0";"Продана";"26.01.2024";"";"";"";"";""
"2132";"04.10.2018";"13.03.2025";"4";"15.09.2023";"0";"Продана";"07.06.2024";"";"";"";"";""
"2134";"05.10.2018";"03.12.2024";"3";"15.08.2022";"0";"Продана";"26.05.2023";"";"";"";"";""
