"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"801";"14.07.2016";"";"5";"16.02.2023";"350";"Дойная";"22.12.2023";"";"";"";"";""
"832";"03.08.2016";"";"5";"18.10.2023";"106";"Дойная";"01.02.2024";"";"";"";"";""
"857";"16.08.2016";"";"5";"29.07.2023";"187";"Дойная";"";"";"";"";"";""
"965";"06.10.2016";"";"6";"19.01.2024";"13";"Дойная";"";"";"";"";"";""
"1001";"28.10.2016";"";"6";"05.01.2024";"27";"Дойная";"";"";"";"";"";""
"1018";"04.11.2016";"";"6";"29.12.2023";"34";"Дойная";"";"";"";"";"";""
"1193";"24.02.2017";"";"6";"21.08.2023";"164";"Дойная";"12.01.2024";"";"";"";"";""
"1217";"08.03.2017";"";"4";"19.05.2023";"258";"Дойная";"";"";"";"";"";""
"1260";"25.03.2017";"";"5";"20.10.2023";"104";"Дойная";"";"";"";"";"";""
"1341";"01.06.2017";"";"5";"24.10.2023";"100";"Дойная";"";"";"";"";"";""
"1391";"24.07.2017";"";"5";"14.08.2023";"171";"Дойная";"19.01.2024";"";"";"";"";""
"1435";"14.08.2017";"";"5";"26.08.2023";"159";"Осемененная";"10.11.2023";"10.11.2023";"";"";"";""
"1481";"18.09.2017";"";"4";"15.02.2023";"0";"Сухостой";"01.09.2023";"01.09.2023";"";"01.02.2024";"";""
"1530";"15.10.2017";"";"5";"15.01.2024";"17";"Дойная";"";"";"";"";"";""
"1686";"14.01.2018";"";"4";"31.03.2023";"307";"Дойная";"26.01.2024";"";"";"";"";""
"1708";"24.01.2018";"";"5";"03.11.2023";"90";"Дойная";"";"";"";"";"";""
"1713";"25.01.2018";"";"4";"08.05.2023";"269";"Дойная";"";"";"";"";"";""
"1860";"17.04.2018";"";"4";"22.08.2023";"163";"Дойная";"";"";"";"";"";""
"1891";"12.05.2018";"";"4";"08.08.2023";"177";"Дойная";"";"";"";"";"";""
"1895";"14.05.2018";"";"3";"10.03.2023";"328";"Дойная";"15.12.2023";"";"";"";"";""
"1927";"06.06.2018";"";"4";"03.11.2023";"90";"Дойная";"";"";"";"";"";""
"1949";"26.06.2018";"";"4";"03.11.2023";"90";"Дойная";"";"";"";"";"";""
"1951";"27.06.2018";"";"3";"18.02.2023";"348";"Дойная";"17.11.2023";"";"";"";"";""
"1965";"08.07.2018";"";"4";"01.01.2024";"31";"Дойная";"";"";"";"";"";""
"2013";"05.08.2018";"";"4";"12.04.2023";"295";"Дойная";"12.01.2024";"";"";"";"";""
"2017";"05.08.2018";"";"4";"18.01.2024";"14";"Дойная";"";"";"";"";"";""
"2018";"06.08.2018";"";"4";"30.10.2023";"94";"Дойная";"";"";"";"";"";""
"2088";"11.09.2018";"";"4";"31.01.2024";"1";"Дойная";"";"";"";"";"";""
"2097";"13.09.2018";"";"4";"19.09.2023";"135";"Дойная";"05.01.2024";"";"";"";"";""
"2117";"27.09.2018";"";"4";"19.07.2023";"197";"Дойная";"26.01.2024";"";"";"";"";""
"2132";"04.10.2018";"";"4";"15.09.2023";"139";"Дойная";"";"";"";"";"";""
"2139";"09.10.2018";"";"4";"21.09.2023";"133";"Дойная";"";"";"";"";"";""
"2159";"21.10.2018";"";"3";"07.10.2023";"117";"Дойная";"26.01.2024";"";"";"";"";""
"2171";"25.10.2018";"";"4";"07.09.2023";"147";"Дойная";"";"";"";"";"";""
"2176";"28.10.2018";"";"4";"15.01.2024";"17";"Дойная";"";"";"";"";"";""
