"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"13172";"24.06.2013";"25.04.2024";"9";"22.04.2024";"0";"Продана";"01.08.2024";"";"";"";"";""
"14071";"23.02.2014";"";"8";"11.10.2023";"295";"Осемененная";"12.01.2024";"12.01.2024";"";"";"";""
"14084";"19.03.2014";"";"8";"16.11.2023";"259";"Дойная";"";"";"";"";"";""
"14088";"21.03.2014";"";"9";"05.07.2024";"27";"Дойная";"";"";"";"";"";""
"14110";"21.04.2014";"";"8";"23.03.2024";"131";"Дойная";"";"";"";"";"";""
"14159";"15.07.2014";"11.03.2024";"6";"18.12.2022";"0";"Продана";"26.10.2023";"";"";"";"";""
"15037";"22.02.2015";"";"7";"23.03.2024";"131";"Дойная";"";"";"";"";"";""
"15043";"03.03.2015";"20.05.2024";"7";"12.02.2024";"0";"Продана";"";"";"";"";"";""
"15095";"18.05.2015";"";"7";"08.05.2024";"85";"Дойная";"";"";"";"";"";""
"15101";"14.05.2015";"";"7";"27.10.2023";"279";"Осемененная";"26.01.2024";"26.01.2024";"";"";"";""
"15150";"10.06.2015";"21.06.2024";"6";"20.11.2023";"0";"Продана";"23.02.2024";"23.02.2024";"";"";"";""
"15212";"13.07.2015";"22.04.2024";"6";"12.11.2023";"0";"Продана";"15.02.2024";"";"";"";"";""
"15231";"24.07.2015";"10.05.2024";"7";"08.04.2024";"0";"Мертвое животное";"";"";"";"";"";""
"15232";"25.07.2015";"17.07.2024";"7";"08.12.2023";"0";"Продана";"08.03.2024";"";"";"";"";""
"15291";"06.09.2015";"";"7";"12.04.2024";"111";"Дойная";"";"";"";"";"";""
"15316";"28.09.2015";"";"7";"26.04.2024";"97";"Дойная";"26.07.2024";"";"";"";"";""
"15360";"11.11.2015";"03.05.2024";"7";"29.09.2023";"0";"Продана";"28.03.2024";"";"";"";"";""
"15379";"01.12.2015";"02.07.2024";"7";"06.02.2024";"0";"Продана";"10.05.2024";"10.05.2024";"";"";"";""
"16023";"26.01.2016";"07.06.2024";"7";"07.06.2024";"0";"Продана";"";"";"";"";"";""
"16086";"08.04.2016";"";"6";"19.06.2024";"43";"Дойная";"";"";"";"";"";""
"16109";"24.04.2016";"";"7";"06.07.2024";"26";"Дойная";"";"";"";"";"";""
"16138";"11.05.2016";"21.06.2024";"6";"11.12.2023";"0";"Продана";"31.05.2024";"";"";"";"";""
