"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"146";"28.04.2015";"18.03.2024";"7";"10.02.2024";"0";"Продана";"01.02.2025";"";"";"";"";""
"277";"21.07.2015";"22.08.2024";"7";"18.08.2024";"0";"Продана";"";"";"";"";"";""
"530";"30.12.2015";"03.06.2024";"7";"03.05.2024";"0";"Продана";"";"";"";"";"";""
"668";"07.04.2016";"";"6";"18.03.2024";"320";"Дойная";"13.09.2024";"";"";"";"";""
"853";"15.08.2016";"";"7";"21.09.2024";"133";"Дойная";"";"";"";"";"";""
"1018";"04.11.2016";"29.10.2024";"6";"29.12.2023";"0";"Продана";"06.09.2024";"06.09.2024";"";"";"";""
"1064";"20.11.2016";"26.04.2024";"5";"26.01.2023";"0";"Продана";"10.11.2023";"";"";"";"";""
"1139";"01.01.2017";"29.07.2024";"6";"29.06.2024";"0";"Продана";"";"";"";"";"";""
"1145";"06.01.2017";"";"7";"14.01.2025";"18";"Дойная";"";"";"";"";"";""
"1193";"24.02.2017";"26.04.2024";"6";"21.08.2023";"0";"Продана";"12.01.2024";"";"";"";"";""
"1253";"23.03.2017";"11.09.2024";"6";"17.05.2024";"0";"Продана";"02.08.2024";"";"";"";"";""
"1260";"25.03.2017";"03.12.2024";"5";"20.10.2023";"0";"Продана";"26.04.2024";"26.04.2024";"";"28.11.2024";"";""
"1299";"01.05.2017";"26.04.2024";"5";"25.01.2023";"0";"Продана";"19.05.2023";"";"";"";"";""
"1337";"30.05.2017";"22.04.2024";"6";"07.04.2024";"0";"Продана";"";"";"";"";"";""
"1341";"01.06.2017";"22.05.2024";"5";"24.10.2023";"0";"Продана";"22.03.2024";"";"";"";"";""
"1356";"13.06.2017";"18.11.2024";"5";"01.05.2024";"0";"Продана";"12.10.2024";"";"";"";"";""
"1391";"24.07.2017";"26.04.2024";"5";"14.08.2023";"0";"Продана";"19.01.2024";"";"";"";"";""
"1405";"29.07.2017";"";"6";"05.12.2024";"58";"Дойная";"";"";"";"";"";""
"1416";"04.08.2017";"24.12.2024";"4";"03.12.2022";"0";"Мертвое животное";"";"";"";"";"";""
"1435";"14.08.2017";"24.06.2024";"5";"26.08.2023";"0";"Продана";"10.11.2023";"10.11.2023";"";"";"";""
"1479";"10.09.2017";"18.12.2024";"6";"23.11.2024";"0";"Продана";"";"";"";"";"";""
"1481";"18.09.2017";"07.03.2024";"4";"15.02.2023";"0";"Продана";"01.09.2023";"01.09.2023";"";"";"";""
"1511";"06.10.2017";"13.12.2024";"6";"17.11.2024";"0";"Продана";"";"";"";"";"";""
"1520";"09.10.2017";"";"6";"08.01.2025";"24";"Дойная";"";"";"";"";"";""
"1526";"12.10.2017";"14.10.2024";"6";"16.08.2024";"0";"Продана";"";"";"";"";"";""
"1530";"15.10.2017";"";"5";"15.01.2024";"0";"Сухостой";"16.08.2024";"16.08.2024";"";"31.12.2024";"";""
"1550";"26.10.2017";"06.09.2024";"5";"06.07.2024";"0";"Продана";"";"";"";"";"";""
"1555";"28.10.2017";"26.12.2024";"5";"14.07.2024";"0";"Продана";"";"";"";"";"";""
"1564";"02.11.2017";"29.02.2024";"5";"28.02.2024";"0";"Продана";"";"";"";"";"";""
"1581";"12.11.2017";"";"5";"10.05.2024";"267";"Дойная";"30.08.2024";"";"";"";"";""
"1620";"03.12.2017";"";"5";"08.06.2024";"238";"Осемененная";"23.08.2024";"23.08.2024";"";"";"";""
"1628";"08.12.2017";"26.11.2024";"5";"03.02.2024";"0";"Продана";"06.09.2024";"";"";"";"";""
"1686";"14.01.2018";"29.02.2024";"4";"31.03.2023";"0";"Продана";"26.01.2024";"";"";"";"";""
"1708";"24.01.2018";"02.05.2024";"5";"03.11.2023";"0";"Продана";"29.03.2024";"";"";"";"";""
"1709";"24.01.2018";"26.12.2024";"5";"29.08.2024";"0";"Продана";"";"";"";"";"";""
"1713";"25.01.2018";"29.01.2025";"4";"08.05.2023";"0";"Продана";"";"";"";"";"";""
"1771";"25.02.2018";"04.07.2024";"4";"25.03.2024";"0";"Продана";"07.06.2024";"";"";"";"";""
"1812";"18.03.2018";"";"6";"21.12.2024";"42";"Дойная";"";"";"";"";"";""
"1819";"21.03.2018";"";"5";"12.12.2024";"51";"Дойная";"";"";"";"";"";""
"1836";"01.04.2018";"31.10.2024";"5";"06.03.2024";"0";"Продана";"20.09.2024";"";"";"";"";""
"1846";"07.04.2018";"";"6";"12.12.2024";"51";"Дойная";"";"";"";"";"";""
"1860";"17.04.2018";"05.08.2024";"4";"22.08.2023";"0";"Продана";"10.05.2024";"";"";"";"";""
"1891";"12.05.2018";"25.03.2024";"4";"08.08.2023";"0";"Продана";"15.03.2024";"";"";"";"";""
"1898";"17.05.2018";"26.04.2024";"3";"12.11.2022";"0";"Продана";"28.07.2023";"";"";"";"";""
