"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"14071";"23.02.2014";"";"8";"11.10.2023";"113";"Осемененная";"12.01.2024";"12.01.2024";"";"";"";""
"14084";"19.03.2014";"";"8";"16.11.2023";"77";"Дойная";"01.02.2024";"";"";"";"";""
"15101";"14.05.2015";"";"7";"27.10.2023";"97";"Осемененная";"26.01.2024";"26.01.2024";"";"";"";""
"15150";"10.06.2015";"";"6";"20.11.2023";"73";"Дойная";"";"";"";"";"";""
"15212";"13.07.2015";"";"6";"12.11.2023";"81";"Дойная";"";"";"";"";"";""
"15232";"25.07.2015";"";"7";"08.12.2023";"55";"Дойная";"";"";"";"";"";""
"15360";"11.11.2015";"";"7";"29.09.2023";"125";"Дойная";"";"";"";"";"";""
"16138";"11.05.2016";"";"6";"11.12.2023";"52";"Дойная";"";"";"";"";"";""
"16154";"26.05.2016";"";"6";"06.12.2023";"57";"Дойная";"";"";"";"";"";""
"16157";"27.05.2016";"";"5";"26.11.2023";"67";"Дойная";"";"";"";"";"";""
"16300";"21.10.2016";"";"6";"24.12.2023";"39";"Дойная";"";"";"";"";"";""
"17006";"05.01.2017";"";"5";"30.07.2023";"186";"Дойная";"15.12.2023";"";"";"";"";""
"17053";"19.02.2017";"";"4";"16.08.2023";"169";"Осемененная";"11.01.2024";"11.01.2024";"";"";"";""
"17145";"03.07.2017";"";"5";"05.10.2023";"119";"Дойная";"";"";"";"";"";""
"17197";"22.08.2017";"";"4";"03.02.2023";"0";"Сухостой";"30.06.2023";"30.06.2023";"";"01.02.2024";"";""
"17199";"24.08.2017";"";"5";"18.10.2023";"106";"Дойная";"";"";"";"";"";""
"17210";"31.08.2017";"";"5";"30.08.2023";"155";"Дойная";"30.11.2023";"";"";"";"";""
"17231";"17.09.2017";"";"5";"16.12.2023";"47";"Дойная";"";"";"";"";"";""
"17251";"01.10.2017";"";"5";"02.11.2023";"91";"Дойная";"";"";"";"";"";""
"17275";"17.10.2017";"";"5";"09.11.2023";"84";"Дойная";"";"";"";"";"";""
"17284";"24.10.2017";"";"5";"23.12.2023";"40";"Дойная";"";"";"";"";"";""
"17308";"11.11.2017";"";"5";"23.01.2024";"9";"Дойная";"";"";"";"";"";""
"17334";"09.12.2017";"";"5";"20.10.2023";"104";"Осемененная";"18.01.2024";"18.01.2024";"";"";"";""
"17347";"17.12.2017";"";"5";"27.01.2024";"5";"Дойная";"";"";"";"";"";""
"17350";"20.12.2017";"";"5";"15.01.2024";"17";"Дойная";"";"";"";"";"";""
"17354";"25.12.2017";"";"4";"14.11.2023";"79";"Дойная";"";"";"";"";"";""
"18011";"07.01.2018";"";"4";"22.08.2023";"163";"Дойная";"23.11.2023";"";"";"";"";""
"18017";"10.01.2018";"";"5";"28.01.2024";"4";"Дойная";"";"";"";"";"";""
"18091";"23.03.2018";"";"4";"07.12.2023";"56";"Дойная";"";"";"";"";"";""
"18099";"01.04.2018";"";"5";"28.12.2023";"35";"Дойная";"";"";"";"";"";""
"18106";"08.04.2018";"";"4";"14.01.2024";"18";"Дойная";"";"";"";"";"";""
"18115";"13.04.2018";"";"4";"02.08.2023";"183";"Осемененная";"14.12.2023";"14.12.2023";"";"";"";""
"18123";"21.04.2018";"";"4";"01.07.2023";"215";"Дойная";"29.09.2023";"";"";"";"";""
"18181";"23.06.2018";"";"4";"06.11.2023";"87";"Дойная";"";"";"";"";"";""
"18193";"05.07.2018";"";"4";"08.08.2023";"177";"Дойная";"";"";"";"";"";""
"18208";"22.07.2018";"";"3";"05.10.2023";"119";"Дойная";"";"";"";"";"";""
"18240";"17.08.2018";"";"4";"12.10.2023";"112";"Осемененная";"11.01.2024";"11.01.2024";"";"";"";""
"18255";"30.08.2018";"";"4";"07.07.2023";"209";"Осемененная";"14.12.2023";"14.12.2023";"";"";"";""
"18261";"05.09.2018";"";"4";"20.07.2023";"196";"Дойная";"";"";"";"";"";""
"18262";"05.09.2018";"";"4";"29.01.2024";"3";"Дойная";"";"";"";"";"";""
"18267";"10.09.2018";"";"4";"16.12.2023";"47";"Дойная";"";"";"";"";"";""
"18272";"13.09.2018";"";"3";"10.08.2023";"175";"Дойная";"";"";"";"";"";""
"18319";"23.10.2018";"";"4";"17.11.2023";"76";"Дойная";"";"";"";"";"";""
"18335";"31.10.2018";"";"4";"28.10.2023";"96";"Дойная";"";"";"";"";"";""
"18349";"11.11.2018";"";"4";"08.10.2023";"116";"Осемененная";"12.01.2024";"12.01.2024";"";"";"";""
"18350";"14.11.2018";"";"4";"16.01.2024";"16";"Дойная";"";"";"";"";"";""
"18357";"17.11.2018";"";"4";"12.01.2024";"20";"Дойная";"";"";"";"";"";""
"18372";"30.11.2018";"";"4";"06.12.2023";"57";"Дойная";"";"";"";"";"";""
"18378";"03.12.2018";"";"4";"28.01.2024";"4";"Дойная";"";"";"";"";"";""
"18395";"15.12.2018";"";"4";"25.10.2023";"99";"Осемененная";"26.01.2024";"26.01.2024";"";"";"";""
"18410";"26.12.2018";"";"4";"30.12.2023";"33";"Дойная";"";"";"";"";"";""
"18419";"31.12.2018";"";"4";"17.10.2023";"107";"Осемененная";"19.01.2024";"19.01.2024";"";"";"";""
"19012";"04.01.2019";"";"4";"15.01.2024";"17";"Дойная";"";"";"";"";"";""
"19015";"05.01.2019";"";"4";"11.12.2023";"52";"Дойная";"";"";"";"";"";""
"19030";"22.01.2019";"";"4";"20.10.2023";"104";"Дойная";"18.01.2024";"";"";"";"";""
"19032";"23.01.2019";"";"4";"17.12.2023";"46";"Дойная";"";"";"";"";"";""
"19067";"14.02.2019";"";"3";"09.12.2023";"54";"Дойная";"";"";"";"";"";""
"19069";"16.02.2019";"";"4";"01.02.2024";"0";"Дойная";"";"";"";"";"";""
"19070";"16.02.2019";"";"4";"15.01.2024";"17";"Дойная";"";"";"";"";"";""
"19094";"16.03.2019";"";"3";"22.03.2023";"316";"Дойная";"11.01.2024";"";"";"";"";""
"19124";"06.05.2019";"";"3";"21.01.2024";"11";"Дойная";"";"";"";"";"";""
"19165";"12.06.2019";"";"3";"11.10.2023";"113";"Дойная";"";"";"";"";"";""
"19166";"12.06.2019";"";"3";"26.11.2023";"67";"Дойная";"";"";"";"";"";""
"19168";"13.06.2019";"";"3";"25.01.2024";"7";"Дойная";"";"";"";"";"";""
"19185";"23.06.2019";"";"3";"01.09.2023";"153";"Дойная";"05.01.2024";"";"";"";"";""
"19239";"09.08.2019";"";"3";"28.07.2023";"188";"Дойная";"";"";"";"";"";""
"19259";"28.08.2019";"";"3";"05.12.2023";"58";"Дойная";"";"";"";"";"";""
"19281";"17.09.2019";"";"3";"09.10.2023";"115";"Дойная";"11.01.2024";"";"";"";"";""
"19305";"06.10.2019";"";"3";"07.08.2023";"178";"Дойная";"";"";"";"";"";""
"19331";"29.10.2019";"";"2";"01.03.2023";"337";"Дойная";"01.12.2023";"";"";"";"";""
"19332";"29.10.2019";"";"3";"24.08.2023";"161";"Дойная";"";"";"";"";"";""
"19341";"06.11.2019";"";"3";"01.11.2023";"92";"Дойная";"";"";"";"";"";""
"19355";"11.11.2019";"";"3";"19.09.2023";"135";"Осемененная";"21.12.2023";"21.12.2023";"";"";"";""
"19360";"15.11.2019";"";"3";"28.01.2024";"4";"Дойная";"";"";"";"";"";""
"19371";"19.11.2019";"";"3";"08.11.2023";"85";"Дойная";"";"";"";"";"";""
"20025";"23.01.2020";"";"3";"07.01.2024";"25";"Дойная";"";"";"";"";"";""
"20041";"14.02.2020";"";"3";"30.01.2024";"2";"Дойная";"";"";"";"";"";""
"20075";"21.03.2020";"";"3";"16.01.2024";"16";"Дойная";"";"";"";"";"";""
"20086";"04.04.2020";"";"2";"20.08.2023";"165";"Осемененная";"05.01.2024";"05.01.2024";"";"";"";""
"20087";"06.04.2020";"";"2";"09.06.2023";"237";"Дойная";"";"";"";"";"";""
"20092";"10.04.2020";"";"2";"15.05.2023";"262";"Дойная";"09.11.2023";"";"";"";"";""
"20096";"16.04.2020";"";"2";"27.07.2023";"189";"Дойная";"27.10.2023";"";"";"";"";""
"20103";"24.04.2020";"";"2";"29.03.2023";"309";"Дойная";"29.06.2023";"";"";"";"";""
"20106";"28.04.2020";"";"2";"17.04.2023";"290";"Осемененная";"30.11.2023";"30.11.2023";"";"";"";""
"20141";"01.06.2020";"";"2";"14.05.2023";"263";"Дойная";"16.11.2023";"";"";"";"";""
"20143";"03.06.2020";"";"2";"27.10.2023";"97";"Дойная";"";"";"";"";"";""
"20147";"05.06.2020";"";"2";"09.05.2023";"268";"Дойная";"16.11.2023";"";"";"";"";""
"20153";"13.06.2020";"";"2";"03.10.2023";"121";"Дойная";"";"";"";"";"";""
"20164";"18.06.2020";"";"2";"04.07.2023";"212";"Дойная";"05.10.2023";"";"";"";"";""
"20171";"25.06.2020";"";"2";"28.03.2023";"310";"Дойная";"11.01.2024";"";"";"";"";""
"20177";"28.06.2020";"";"2";"18.05.2023";"259";"Дойная";"";"";"";"";"";""
"20218";"23.07.2020";"";"2";"07.05.2023";"270";"Дойная";"10.08.2023";"";"";"";"";""
"20228";"01.08.2020";"";"2";"02.08.2023";"183";"Дойная";"";"";"";"";"";""
"20232";"05.08.2020";"";"2";"23.11.2023";"70";"Дойная";"";"";"";"";"";""
"20233";"05.08.2020";"";"2";"16.10.2023";"108";"Дойная";"";"";"";"";"";""
"20286";"14.09.2020";"";"2";"03.10.2023";"121";"Дойная";"";"";"";"";"";""
"20296";"23.09.2020";"";"2";"04.09.2023";"150";"Осемененная";"08.12.2023";"08.12.2023";"";"";"";""
"20312";"08.10.2020";"";"2";"08.08.2023";"177";"Дойная";"";"";"";"";"";""
"20384";"23.11.2020";"";"2";"08.10.2023";"116";"Осемененная";"11.01.2024";"11.01.2024";"";"";"";""
"21001";"01.01.2021";"";"2";"13.12.2023";"50";"Дойная";"";"";"";"";"";""
"21003";"02.01.2021";"";"2";"10.11.2023";"83";"Дойная";"";"";"";"";"";""
"21029";"15.01.2021";"";"2";"21.11.2023";"72";"Дойная";"";"";"";"";"";""
